,InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding,combined,output,T5_SS1,T5_SS2,T5_result,messages,USE_similarity,SS1_USE,SS2_USE,result_USE
0,138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,Rick grew up in a troubled household.,"He never found good support in family, and turned to gangs.",It wasn't long before Rick got shot in a robbery.,The incident caused him to turn a new leaf.,He is happy now.,He joined a gang.,1,"Rick grew up in a troubled household. He never found good support in family, and turned to gangs. It wasn't long before Rick got shot in a robbery. The incident caused him to turn a new leaf.","He started his own gang, and became a hero for all of his trouble.",0.4,1.6,2,"['He started his own gang, and became a hero for all of his trouble.', 'He is happy now.', 'He joined a gang.']","(0.18876645, 0.52009946, 2)",0.1887664496898651,0.5200994610786438,2
1,bff9f820-9605-4875-b9af-fe6f14d04256,Laverne needs to prepare something for her friend's party.,She decides to bake a batch of brownies.,She chooses a recipe and follows it closely.,Laverne tests one of the brownies to make sure it is delicious.,The brownies are so delicious Laverne eats two of them.,Laverne doesn't go to her friend's party.,1,Laverne needs to prepare something for her friend's party. She decides to bake a batch of brownies. She chooses a recipe and follows it closely. Laverne tests one of the brownies to make sure it is delicious.,Laverne is happy that she prepared something for her friend's party.,0.4,1.6,2,"[""Laverne is happy that she prepared something for her friend's party."", 'The brownies are so delicious Laverne eats two of them.', ""Laverne doesn't go to her friend's party.""]","(0.30330008, 0.74435127, 2)",0.30330008268356323,0.7443512678146362,2
2,e8f628d5-9f97-40ed-8611-fc0e774673c4,Sarah had been dreaming of visiting Europe for years.,She had finally saved enough for the trip.,She landed in Spain and traveled east across the continent.,She didn't like how different everything was.,Sarah then decided to move to Europe.,Sarah decided that she preferred her home over Europe.,2,Sarah had been dreaming of visiting Europe for years. She had finally saved enough for the trip. She landed in Spain and traveled east across the continent. She didn't like how different everything was.,Sarah decided to stay in Spain until she could finally relax.,1.6,1.6,2,"['Sarah decided to stay in Spain until she could finally relax.', 'Sarah then decided to move to Europe.', 'Sarah decided that she preferred her home over Europe.']","(0.5540965, 0.6119271, 2)",0.554096519947052,0.6119270920753479,2
3,f5226bfe-9f26-4377-b05f-3d9568dbdec1,Gina was worried the cookie dough in the tube would be gross.,She was very happy to find she was wrong.,The cookies from the tube were as good as from scratch.,Gina intended to only eat 2 cookies and save the rest.,Gina liked the cookies so much she ate them all in one sitting.,Gina gave the cookies away at her church.,1,Gina was worried the cookie dough in the tube would be gross. She was very happy to find she was wrong. The cookies from the tube were as good as from scratch. Gina intended to only eat 2 cookies and save the rest.,But she ended up eating 3 and gaining weight.,0.4,0.0,1,"['But she ended up eating 3 and gaining weight.', 'Gina liked the cookies so much she ate them all in one sitting.', 'Gina gave the cookies away at her church.']","(0.37637636, 0.2302049, 1)",0.37637636065483093,0.23020489513874054,1
4,69ac9b05-b956-402f-9fff-1f926ef9176b,It was  my final performance in marching band.,I was playing the snare drum in the band.,We played Thriller and Radar Love.,The performance was flawless.,I was very proud of my performance.,I was very ashamed of my performance.,1,It was  my final performance in marching band. I was playing the snare drum in the band. We played Thriller and Radar Love. The performance was flawless.,I was very proud of myself.,4.0,0.8,1,"['I was very proud of myself.', 'I was very proud of my performance.', 'I was very ashamed of my performance.']","(0.79966307, 0.59727407, 1)",0.7996630668640137,0.5972740650177002,1
5,d80cabdd-7a85-47e3-86be-5ce6591ca51e,Jim found an old disposable camera in the bottom of his junk drawer.,He began snapping away at everything around him.,The counter clicked down to one final photo.,The gravity of the situation began to dawn on Jim.,Jim took time to decide what he would take a picture of.,Jim took 20 more photos.,1,Jim found an old disposable camera in the bottom of his junk drawer. He began snapping away at everything around him. The counter clicked down to one final photo. The gravity of the situation began to dawn on Jim.,He had to throw the camera away and get a new one.,0.4,0.4,2,"['He had to throw the camera away and get a new one.', 'Jim took time to decide what he would take a picture of.', 'Jim took 20 more photos.']","(0.25538695, 0.17880805, 1)",0.25538694858551025,0.1788080483675003,1
6,58090d3f-8a91-4c89-83ef-2b4994de9d24,Ron started his new job as a landscaper today.,He loves the outdoors and has always enjoyed working in it.,His boss tells him to re-sod the front yard of the mayor's home.,"Ron is ecstatic, but does a thorough job and finishes super early.",Ron is immediately fired for insubordination.,His boss commends him for a job well done.,2,"Ron started his new job as a landscaper today. He loves the outdoors and has always enjoyed working in it. His boss tells him to re-sod the front yard of the mayor's home. Ron is ecstatic, but does a thorough job and finishes super early.","Ron is glad he got the job, but is still disappointed.",0.8,1.6,2,"['Ron is glad he got the job, but is still disappointed.', 'Ron is immediately fired for insubordination.', 'His boss commends him for a job well done.']","(0.57653606, 0.2966834, 1)",0.5765360593795776,0.2966834008693695,1
7,e17053ac-2046-48c8-a7a2-7b9509c10e64,John and Billy became very skilled at beer pong.,They entered a contest in college.,They won the contest and advanced to the next level.,The next level sent them to Vegas.,"In Vegas, John and Billy competed against eighty contestants.",John and Billy were disappointed.,1,John and Billy became very skilled at beer pong. They entered a contest in college. They won the contest and advanced to the next level. The next level sent them to Vegas.,They won the contest and went on to win a gold medal.,1.4,0.4,1,"['They won the contest and went on to win a gold medal.', 'In Vegas, John and Billy competed against eighty contestants.', 'John and Billy were disappointed.']","(0.37079614, 0.06842394, 1)",0.3707961440086365,0.06842394173145294,1
8,69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline was a student in medical school.,Caroline worked very hard to get good grades.,One day Caroline failed a test by one point.,Caroline was very frustrated but she continued to study hard.,But she gave up.,"Later, she passed the test.",2,Caroline was a student in medical school. Caroline worked very hard to get good grades. One day Caroline failed a test by one point. Caroline was very frustrated but she continued to study hard.,She got an A on her next test.,0.0,1.6,2,"['She got an A on her next test.', 'But she gave up.', 'Later, she passed the test.']","(0.23353875, 0.63327265, 2)",0.23353874683380127,0.633272647857666,2
9,1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Trish hated the outdoors.,Her friends convinced her to go camping.,She wasn't having a good time.,They showed her how to fish and showed her the stars.,Eventually Trish grudgingly came to accept nature.,The fish had very interesting mating habits.,1,Trish hated the outdoors. Her friends convinced her to go camping. She wasn't having a good time. They showed her how to fish and showed her the stars.,Trish decided camping was not for her.,0.8,0.0,1,"['Trish decided camping was not for her.', 'Eventually Trish grudgingly came to accept nature.', 'The fish had very interesting mating habits.']","(0.44754755, 0.04395196, 1)",0.4475475549697876,0.043951958417892456,1
